"","year","month","day","global_rad.MJ.m2.","cloud_cov...","air_temp.C.","rel_hum...","air_press.hPa.","wind_sp.m.s.","rain","date","doy","doy_start","buoy_start","buoy_end","category","period"
"162",2018,10,16,9.062,0.738,3.82,67.79,977.94,5.589,0.309,2018-10-16,"289",270,130,303,"buoy","lf"
"163",2018,10,17,12.371,0.501,3.78,70.54,974.24,5.27,1.952,2018-10-17,"290",270,130,303,"buoy","lf"
"164",2018,10,18,10.164,0.678,-0.52,55.36,987.06,4.953,0.174,2018-10-18,"291",270,130,303,"buoy","lf"
"165",2018,10,19,12.449,0.662,7.18,67.63,977.26,4.782,0.276,2018-10-19,"292",270,130,303,"buoy","lf"
"166",2018,10,20,9.518,0.589,6.79,70.82,964.99,5.916,4.662,2018-10-20,"293",270,130,303,"buoy","lf"
"167",2018,10,21,8.508,0.738,-0.17,63.08,978.22,4.78,0.145,2018-10-21,"294",270,130,303,"buoy","lf"
"168",2018,10,22,9.148,0.595,-0.36,67.03,984.85,2.23,0.079,2018-10-22,"295",270,130,303,"buoy","lf"
"169",2018,10,23,10.931,0.63,1.14,72.17,984.28,3.321,0.423,2018-10-23,"296",270,130,303,"buoy","lf"
"170",2018,10,24,7.182,0.615,1.94,74.33,985.41,3.178,1.988,2018-10-24,"297",270,130,303,"buoy","lf"
"171",2018,10,25,11.416,0.792,-0.65,60.78,984.38,3.955,0.015,2018-10-25,"298",270,130,303,"buoy","lf"
"172",2018,10,26,11.547,0.363,-1.97,60.52,984.96,2.833,0,2018-10-26,"299",270,130,303,"buoy","lf"
"173",2018,10,27,9.637,0.93,-1.24,62.14,985.17,4.896,5.015,2018-10-27,"300",270,130,303,"buoy","lf"
"174",2018,10,28,2.528,0.998,0.06,97.14,972.77,3.59,11.012,2018-10-28,"301",270,130,303,"buoy","lf"
"175",2018,10,29,4.804,0.984,1.45,95.97,972.32,1.885,2.159,2018-10-29,"302",270,130,303,"buoy","lf"
"176",2018,10,30,6.132,0.7,0.25,84.88,980.91,3.077,0.054,2018-10-30,"303",270,130,303,"buoy","lf"
"177",2019,9,15,10.216,0.733,12.77,73.44,984.66,3.791,0.08,2019-09-15,"258",258,136,302,"buoy","lf"
"178",2019,9,16,18.059,0.332,12.32,70.7,985.6,3.116,0,2019-09-16,"259",258,136,302,"buoy","lf"
"179",2019,9,17,18.778,0.079,11.37,72.97,989.56,2.147,0,2019-09-17,"260",258,136,302,"buoy","lf"
"180",2019,9,18,19.326,0.064,10.53,76.18,993.49,1.86,0,2019-09-18,"261",258,136,302,"buoy","lf"
"181",2019,9,19,17.844,0.545,12.73,67.33,992.16,1.857,0,2019-09-19,"262",258,136,302,"buoy","lf"
"182",2019,9,20,16.835,0.609,16.76,74.03,988.1,2.828,0,2019-09-20,"263",258,136,302,"buoy","lf"
"183",2019,9,21,16.453,0.253,18.01,79.99,988.38,2.16,0.017,2019-09-21,"264",258,136,302,"buoy","lf"
"184",2019,9,22,10,0.817,19.65,79.42,980.61,4.441,0.383,2019-09-22,"265",258,136,302,"buoy","lf"
"185",2019,9,23,5.426,0.922,19.14,87.33,971.59,3.862,7.846,2019-09-23,"266",258,136,302,"buoy","lf"
"186",2019,9,24,3.53,0.997,12.17,87.93,974.34,2.89,0.659,2019-09-24,"267",258,136,302,"buoy","lf"
"187",2019,9,25,10.87,0.865,12.65,83.01,976.22,1.933,0.306,2019-09-25,"268",258,136,302,"buoy","lf"
"188",2019,9,26,5.431,0.647,13.04,92.53,972.74,2.966,11.067,2019-09-26,"269",258,136,302,"buoy","lf"
"189",2019,9,27,15.412,0.528,11.93,78.3,982.46,2.949,0.026,2019-09-27,"270",258,136,302,"buoy","lf"
"190",2019,9,28,2.358,0.91,13.34,96.31,981.96,3.295,14.609,2019-09-28,"271",258,136,302,"buoy","lf"
"191",2019,9,29,17.1,0.155,7.47,72.11,994.78,2.682,0,2019-09-29,"272",258,136,302,"buoy","lf"
"192",2019,9,30,11.93,0.672,6.57,71.04,993.05,2.532,1.24,2019-09-30,"273",258,136,302,"buoy","lf"
"193",2019,10,1,2.244,1,9.29,98.23,979.21,2.171,17.117,2019-10-01,"274",258,136,302,"buoy","lf"
"194",2019,10,2,7.535,0.735,8.05,77.58,981.81,3.276,0.042,2019-10-02,"275",258,136,302,"buoy","lf"
"195",2019,10,3,9.715,0.835,3.82,79.78,986.97,2.476,4.342,2019-10-03,"276",258,136,302,"buoy","lf"
"196",2019,10,4,11.151,0.564,4.17,77.32,989.01,3.869,3.338,2019-10-04,"277",258,136,302,"buoy","lf"
"197",2019,10,5,15.881,0.038,4.56,73.94,995.24,2.154,0,2019-10-05,"278",258,136,302,"buoy","lf"
"198",2019,10,6,6.908,0.941,8.62,88.4,985.56,3.336,1.837,2019-10-06,"279",258,136,302,"buoy","lf"
"199",2019,10,7,6.219,0.927,11.72,89.28,983.42,3.714,2.115,2019-10-07,"280",258,136,302,"buoy","lf"
"200",2019,10,8,15.546,0.027,8.75,74.36,991.64,2.411,0,2019-10-08,"281",258,136,302,"buoy","lf"
"201",2019,10,9,14.089,0.551,7.48,73.23,996.5,2.678,0,2019-10-09,"282",258,136,302,"buoy","lf"
"202",2019,10,10,14.289,0.469,8.83,66.93,996.23,3.394,0,2019-10-10,"283",258,136,302,"buoy","lf"
"203",2019,10,11,14.874,0.002,9.74,59.98,992.81,3.966,0,2019-10-11,"284",258,136,302,"buoy","lf"
"204",2019,10,12,11.749,0.434,9.98,75.82,982.3,2.829,3.568,2019-10-12,"285",258,136,302,"buoy","lf"
"205",2019,10,13,14.465,0.128,7.72,76.07,982.34,2.94,0.168,2019-10-13,"286",258,136,302,"buoy","lf"
"206",2019,10,14,7.119,0.487,5.74,81.15,979.29,2.746,1.088,2019-10-14,"287",258,136,302,"buoy","lf"
"207",2019,10,15,10.428,0.434,5.29,72.05,983.59,3.293,0.016,2019-10-15,"288",258,136,302,"buoy","lf"
"208",2019,10,16,7.032,0.962,8.2,76.76,975.56,3.894,6.453,2019-10-16,"289",258,136,302,"buoy","lf"
"209",2019,10,17,1.27,1,5.8,94.72,961.37,6.075,33.637,2019-10-17,"290",258,136,302,"buoy","lf"
"210",2019,10,18,6.006,0.763,5.91,77.23,974.19,4.732,0.088,2019-10-18,"291",258,136,302,"buoy","lf"
"211",2019,10,19,13.324,0.038,3.31,73.11,982.86,2.142,0,2019-10-19,"292",258,136,302,"buoy","lf"
"212",2019,10,20,11.786,0.37,3.06,82.48,983.02,1.966,0,2019-10-20,"293",258,136,302,"buoy","lf"
"213",2019,10,21,12.523,0.413,5.94,80.97,986.81,2.081,0,2019-10-21,"294",258,136,302,"buoy","lf"
"214",2019,10,22,7.749,0.974,9.59,80.56,981.28,4.286,22.913,2019-10-22,"295",258,136,302,"buoy","lf"
"215",2019,10,23,9.794,0.58,9.83,79.09,976.81,3.836,11.013,2019-10-23,"296",258,136,302,"buoy","lf"
"216",2019,10,24,5.906,0.383,6.72,79.98,984.88,3.837,1.255,2019-10-24,"297",258,136,302,"buoy","lf"
"217",2019,10,25,6.354,0.791,3.75,82.96,990.19,2.107,0.1,2019-10-25,"298",258,136,302,"buoy","lf"
"218",2019,10,26,11.436,0.525,4.16,73.68,989.8,2.288,1.435,2019-10-26,"299",258,136,302,"buoy","lf"
"219",2019,10,27,0.882,1,4.11,91.38,980.78,4.198,26.416,2019-10-27,"300",258,136,302,"buoy","lf"
"220",2019,10,28,4.504,0.838,7.6,93.24,985.61,1.531,0.261,2019-10-28,"301",258,136,302,"buoy","lf"
"221",2019,10,29,4.99,0.921,9.93,89.77,987.76,2.645,0.364,2019-10-29,"302",258,136,302,"buoy","lf"
"222",2021,9,13,11.041,0.621,13.82,71.29,983.47,2.938,0.152,2021-09-13,"256",256,133,301,"buoy","lf"
"223",2021,9,14,16.425,0.728,13.07,76.12,982.89,2.665,6.904,2021-09-14,"257",256,133,301,"buoy","lf"
